Description,fundament,USB HID Spec,win32 VKey,macOS/AppKit,x11/xlib,linux event codes
PageDown,fn_key_page_down,0x4E,VK_NEXT,kVK_PageDown,XK_Next,KEY_PAGEDOWN
Right,fn_key_right,0x4F,VK_RIGHT,kVK_RightArrow,XK_Right,KEY_RIGHT
Left,fn_key_left,0x50,VK_LEFT,kVK_LeftArrow,XK_Left,KEY_LEFT
Down,fn_key_down,0x51,VK_DOWN,kVK_UpArrow,XK_Down,KEY_DOWN
Up,fn_key_up,0x52,VK_UP,kVK_DownArrow,XK_Up,KEY_UP
Numpad Divide,fn_key_np_divide,0x54,VK_DIVIDE,kVK_ANSI_KeypadDivide,XK_KP_Divide,KEY_KPSLASH
Numpad Multiply,fn_key_np_multiply,0x55,VK_MULTIPLY,kVK_ANSI_KeypadMultiply,XK_KP_Multiply,KEY_KPASTERISK
Numpad Minus,fn_key_np_minus,0x56,VK_SUBTRACT,kVK_ANSI_KeypadMinus,XK_KP_Subtract,KEY_KPMINUS
Numpad Plus,fn_key_np_plus,0x57,VK_ADD,kVK_ANSI_KeypadPlus,XK_KP_Add,KEY_KPPLUS
Numpad 1,fn_key_np_1,0x59,VK_NUMPAD1,kVK_ANSI_Keypad1,XK_KP_End,KEY_KP1
Numpad 2,fn_key_np_2,0x5A,VK_NUMPAD2,kVK_ANSI_Keypad2,XK_KP_Down,KEY_KP2
Numpad 3,fn_key_np_3,0x5B,VK_NUMPAD3,kVK_ANSI_Keypad3,XK_KP_Page_Down,KEY_KP3
Numpad 4,fn_key_np_4,0x5C,VK_NUMPAD4,kVK_ANSI_Keypad4,XK_KP_Left,KEY_KP4
Numpad 5,fn_key_np_5,0x5D,VK_NUMPAD5,kVK_ANSI_Keypad5,XK_KP_Begin,KEY_KP5
Numpad 6,fn_key_np_6,0x5E,VK_NUMPAD6,kVK_ANSI_Keypad6,XK_KP_Right,KEY_KP6
Numpad 7,fn_key_np_7,0x5F,VK_NUMPAD7,kVK_ANSI_Keypad7,XK_KP_Home,KEY_KP7
Numpad 8,fn_key_np_8,0x60,VK_NUMPAD8,kVK_ANSI_Keypad8,XK_KP_Up,KEY_KP8
Numpad 9,fn_key_np_9,0x61,VK_NUMPAD9,kVK_ANSI_Keypad9,XK_KP_Page_Up,KEY_KP9
Numpad 0,fn_key_np_0,0x62,VK_NUMPAD0,kVK_ANSI_Keypad0,XK_KP_Insert,KEY_KP0
Menu,fn_key_menu,0x65,VK_APPS,,XK_Menu,KEY_MENU
F13,fn_key_f13,0x68,VK_F13,kVK_F13,XK_F13,KEY_F13
F14,fn_key_f14,0x69,VK_F14,kVK_F15,XK_F14,KEY_F14
F15,fn_key_f15,0x6A,VK_F15,kVK_F15,XK_F15,KEY_F15
Left Control,fn_key_left_ctrl,0xE0,VK_LCONTROL,kVK_Control,XK_Control_L,KEY_LEFTCTRL
Left Shift,fn_key_left_shift,0xE1,VK_LSHIFT,kVK_Shift,XK_Shift_L,KEY_LEFTSHIFT
Left Alt,fn_key_left_alt,0xE2,VK_LMENU,kVk_Option,XK_Alt_L,KEY_LEFTALT
Left System,fn_key_left_system,0xE3,VK_LWIN,kVK_Command,XK_Super_L,KEY_LEFTMETA
Right Control,fn_key_right_ctrl,0xE4,VK_RCONTROL,kVK_RightControl,XK_Control_R,KEY_RIGHTCTRL
Right Shift,fn_key_right_shift,0xE5,VK_RSHIFT,kVK_RightShift,XK_Shift_R,KEY_RIGHTSHIFT
Right Alt,fn_key_right_alt,0xE6,VK_RMENU,kVK_RightOption,XK_Alt_R,KEY_RIGHTALT
Right System,fn_key_right_system,0xE7,VK_RWIN,kVK_RightCommand,XK_Super_R,KEY_RIGHTMETA
